Cameroon,Yaounde
Central Africa Republic,Bangui
Gabon,Libreville
Congo,Brazzaville
Democratic Republic of the Congo,Kinshana
Uganda,Kampala
Sao Tome & Principe,Sao Tome
Equatorial Guinea,Malabo
Kenya,Nairobi
Angola,Luanda
Namibia,Windhoek
Rwanda,Kigali
Burundi,Bujumbura
Mauritius,Port Louis
Tanzania,Dodoma
Malawi,Lilongwe
Mozambique,Maputo
Comoros,Moroni
Seychelles,Victoria
Zimbabwe,Harare
Zambia,Lusaka
Botswana,Gaborone
Swaziland,Mbabane
South Africa,Pretoria
Lesotho,Maseru
Madagascar,Antananarivo
